Депутаты выступили перед экспертами на водном совете в Камбодже,26-05-2023 10:48,No image in the article,
Депутаты выступили перед экспертами на водном совете в Камбодже,26-05-2023 10:48,No image in the article,
Депутаты выступили перед экспертами на водном совете в Камбодже,26-05-2023 10:48,No image in the article,"Парламентарии рассказали о  важных законодательных и политических мерах, предпринимаемых на парламентском уровне в Кыргызстане в отношении водных ресурсов и воды, направленных на решение водных проблем в Центральной Азии."
Рассмотрен законопроект о ратификации Соглашения о взаимной правовой помощи по административным вопросам в сфере обмена персональными данными,25-05-2023 16:35,/uploads/media/news_cover_photo/0001/86/thumb_85438_news_cover_photo_slider.jpg,Рассмотрен законопроект о ратификации Соглашения о взаимной правовой помощи по административным вопросам в сфере обмена персональными данными
Рассмотрен законопроект по ратификации Меморандума об обязательствах Исламской Республики Иран в целях получения статуса государства-члена Шанхайской организации сотрудничества,25-05-2023 16:18,/uploads/media/news_cover_photo/0001/86/thumb_85439_news_cover_photo_slider.jpg,Рассмотрен законопроект по ратификации Меморандума об обязательствах Исламской Республики Иран в целях получения статуса государства-члена Шанхайской организации сотрудничества
Принят законопроект о ратификации Грантового соглашения по проекту «Модернизация и устойчивое развитие электроэнергетического сектора»,25-05-2023 16:17,/uploads/media/news_cover_photo/0001/86/thumb_85440_news_cover_photo_slider.jpg,Принят законопроект о ратификации Грантового соглашения по проекту «Модернизация и устойчивое развитие электроэнергетического сектора»
"Рассмотрен законопроект, направленный на пресечение незаконной деятельности по организации и проведению подпольных (нелегальных) азартных игр",25-05-2023 15:50,/uploads/media/news_cover_photo/0001/86/thumb_85432_news_cover_photo_slider.jpg,"Рассмотрен законопроект, направленный на пресечение незаконной деятельности по организации и проведению подпольных (нелегальных) азартных игр"
Принят проект Закона «О внесении изменений в Закон Кыргызской Республики «О медиации» во втором чтении,25-05-2023 12:58,/uploads/media/news_cover_photo/0001/86/thumb_85420_news_cover_photo_slider.jpg,Принят проект Закона «О внесении изменений в Закон Кыргызской Республики «О медиации» во втором чтении
Принят законопроект  «О внесении изменений в Закон Кыргызской Республики «О химизации и защите растений» в третьем чтении,25-05-2023 12:53,/uploads/media/news_cover_photo/0001/86/thumb_85418_news_cover_photo_slider.jpeg,Принят законопроект  «О внесении изменений в Закон Кыргызской Республики «О химизации и защите растений» в третьем чтении
"Принят проект Закона «О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Уголовный Кодекс, Кодекс о правонарушениях)» в третьем чтении",25-05-2023 12:51,/uploads/media/news_cover_photo/0001/86/thumb_85417_news_cover_photo_slider.jpg,"Принят проект Закона «О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Уголовный Кодекс, Кодекс о правонарушениях)» в третьем чтении"
Делегация ЖК КР встретилась с исполнительным директором Малазийского управления инвестиционного развития Нажихан Абас,25-05-2023 12:39,/uploads/media/news_cover_photo/0001/86/thumb_85405_news_cover_photo_slider.jpeg,Делегация ЖК КР встретилась с исполнительным директором Малазийского управления инвестиционного развития Нажихан Абас
